no	year	d_or_f	rank	title	author	translator	label	score
0001	1993年	国内篇	01位	『パプリカ』	筒井康隆		中央公論社	053点
0002	1993年	国内篇	02位	『終わりなき索敵』	谷甲州		早川書房	041点
0003	1993年	国内篇	03位	『ガダラの豚』	中島らも		実業之日本社	021点
0004	1993年	国内篇	04位	『吸血鬼エフェメラ』	大原まり子		早川書房	018点
0005	1993年	国内篇	05位	『二重螺旋の悪魔(上・下)』	梅原克文		朝日ソノラマ	016点
0006	1993年	国内篇	06位	『ドグマ・マ゠グロ』	梶尾真治		朝日ソノラマ	015点
0007	1993年	国内篇	07位	『ジャパノイド宣言』	巽孝之		早川書房	010点
0008	1993年	国内篇	08位	『妖星伝(七) 魔道の巻』	半村良		講談社	009点
0009	1993年	国内篇	09位	『雨の檻』	菅浩江		ハヤカワ文庫JA	007点
0010	1993年	国内篇	09位	『お父さんの会社』	草上仁		ハヤカワ文庫JA	007点
0011	1993年	国内篇	09位	『タイム・リーパー』	大原まり子		早川書房	007点
0012	1993年	海外篇	01位	『アヌビスの門(上・下)』	ティム・パワーズ	大伴墨人訳	ハヤカワ文庫FT	048点
0013	1993年	海外篇	02位	『どろぼう熊の惑星』	R・A・ラファティ	浅倉久志訳	ハヤカワ文庫SF	032点
0014	1993年	海外篇	03位	『アインシュタインの夢』	アラン・ライトマン	浅倉久志訳	早川書房	018点
0015	1993年	海外篇	04位	『大潮の道』	マイクル・スワンウィック	小川隆訳	ハヤカワ文庫SF	016点
0016	1993年	海外篇	05位	『世界の果てまで何マイル』	テリー・ビッスン	中村融訳	ハヤカワ文庫SF	014点
0017	1993年	海外篇	06位	『ハザール事典 夢の狩人たちの物語』	ミロラド・パヴィチ	工藤幸雄訳	東京創元社	014点
0018	1993年	海外篇	07位	『ワンダフル・ライフ』	スティーヴン・ジェイ・グールド	渡辺政隆訳	早川書房	013点
0019	1993年	海外篇	08位	『トミーノッカーズ(上・下)』	スティーヴン・キング	吉野美恵子訳	文藝春秋	011点
