no	series	model	layout	keys	color	switch	press	silent	label	wire	wireless	keymap	others	introduced	productpage	pressrelease	eol
1	HHKB	PD-KB01/S	英語	60キー	グレー	メンブレン	50g	-	左上刻印	Sun Type5	-	-	-	1996-12	https://happyhackingkb.com/jp/products/discontinued/hhkb_kb02/	-	eol
2	HHKB	PD-KB01/P	英語	60キー	グレー	メンブレン	50g	-	左上刻印	PS/2	-	-	-	1996-12	https://happyhackingkb.com/jp/products/discontinued/hhkb_kb02/	-	eol
3	HHKB	PD-KB02/S	英語	60キー	グレー	メンブレン	50g	-	左上刻印	Sun Type5	-	-	-	1997-11	https://happyhackingkb.com/jp/products/discontinued/hhkb_kb02/	https://web.archive.org/web/20050905181350/http://www.pfu.co.jp:80/topics/new971106.html	eol
4	HHKB	PD-KB02/P	英語	60キー	グレー	メンブレン	50g	-	左上刻印	PS/2	-	-	-	1997-11	https://happyhackingkb.com/jp/products/discontinued/hhkb_kb02/	https://web.archive.org/web/20050905181350/http://www.pfu.co.jp:80/topics/new971106.html	eol
5	HHKB	PD-KB02/M	英語	60キー	グレー	メンブレン	50g	-	左上刻印	Apple ADB	-	-	-	1997-11	https://happyhackingkb.com/jp/products/discontinued/hhkb_kb02/	https://web.archive.org/web/20050905181350/http://www.pfu.co.jp:80/topics/new971106.html	eol
6	HHKB Lite	PD-KB100NB	英語	60キー	黒	メンブレン	55g	-	左上刻印	PS/2	-	-	-	1999-10	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite/	https://web.archive.org/web/20071222114026/http://www.pfu.co.jp:80/topics/new991013.html	eol
7	HHKB Lite	PD-KB100NW	英語	60キー	白	メンブレン	55g	-	左上刻印	PS/2	-	-	-	1999-10	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite/	https://web.archive.org/web/20071222114026/http://www.pfu.co.jp:80/topics/new991013.html	eol
8	HHKB Lite2	PD-KB200B/P	英語Lite2	65キー	黒	メンブレン	55g	-	左上刻印	PS/2	-	-	-	2001-04	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050310074535/http://www.pfu.co.jp:80/topics/new010321.html	eol
9	HHKB Lite2	PD-KB200W/P	英語Lite2	65キー	白	メンブレン	55g	-	左上刻印	PS/2	-	-	-	2001-04	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050310074535/http://www.pfu.co.jp:80/topics/new010321.html	eol
10	HHKB Lite2	PD-KB210B/P	日本語Lite2	68キー	黒	メンブレン	55g	-	左上刻印(かな有)	PS/2	-	-	-	2002-08	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20071111014338/http://www.pfu.co.jp/topics/new020812.html	eol
11	HHKB Lite2	PD-KB210W/P	日本語Lite2	68キー	白	メンブレン	55g	-	左上刻印(かな有)	PS/2	-	-	-	2001-04	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050310074535/http://www.pfu.co.jp:80/topics/new010321.html	eol
12	HHKB Lite2	PD-KB220B/P	日本語Lite2	68キー	黒	メンブレン	55g	-	左上刻印(かな無)	PS/2	-	-	-	2004-06	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20080108195503/http://www.pfu.co.jp/topics/new040610.html	eol
13	HHKB Lite2	PD-KB220W/P	日本語Lite2	68キー	白	メンブレン	55g	-	左上刻印(かな無)	PS/2	-	-	-	2004-06	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20080108195503/http://www.pfu.co.jp/topics/new040610.html	eol
14	HHKB Lite2	PD-KB200B/U	英語Lite2	65キー	黒	メンブレン	55g	-	左上刻印	USB	-	-	USB 1.0 Hub 2ポート	2001-08	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050315085809/http://www.pfu.co.jp:80/topics/new010808.html	eol
15	HHKB Lite2	PD-KB200W/U	英語Lite2	65キー	白	メンブレン	55g	-	左上刻印	USB	-	-	USB 1.0 Hub 2ポート	2001-04	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050310074535/http://www.pfu.co.jp:80/topics/new010321.html	eol
16	HHKB Lite2	PD-KB210B/U	日本語Lite2	68キー	黒	メンブレン	55g	-	左上刻印(かな有)	USB	-	-	USB 1.0 Hub 2ポート	2002-08	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20071111014338/http://www.pfu.co.jp/topics/new020812.html	eol
17	HHKB Lite2	PD-KB210W/U	日本語Lite2	68キー	白	メンブレン	55g	-	左上刻印(かな有)	USB	-	-	USB 1.0 Hub 2ポート	2001-08	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20050315085809/http://www.pfu.co.jp:80/topics/new010808.html	eol
18	HHKB Lite2	PD-KB220B/U	日本語Lite2	68キー	黒	メンブレン	55g	-	左上刻印(かな無)	USB	-	-	USB 1.0 Hub 2ポート	2004-06	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20080108195503/http://www.pfu.co.jp/topics/new040610.html	eol
19	HHKB Lite2	PD-KB220W/U	日本語Lite2	68キー	白	メンブレン	55g	-	左上刻印(かな無)	USB	-	-	USB 1.0 Hub 2ポート	2004-06	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2/	https://web.archive.org/web/20080108195503/http://www.pfu.co.jp/topics/new040610.html	eol
20	HHKB Lite2 for Mac	PD-KB200MA	英語Lite2	65キー	スノーホワイト	メンブレン	55g	-	左上刻印	USB	-	-	USB 1.0 Hub 2ポート	2007-01	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2mac/	https://www.pfu.ricoh.com/news/2007/new070125.html	eol
21	HHKB Lite2 for Mac	PD-KB220MA	日本語Lite2	68キー	スノーホワイト	メンブレン	55g	-	左上刻印(かな無)	USB	-	-	USB 1.0 Hub 2ポート	2007-01	https://happyhackingkb.com/jp/products/discontinued/hhkb_lite2mac/	https://www.pfu.ricoh.com/news/2007/new070125.html	eol
22	HHKB Professional	PD-KB300B	英語	60キー	墨	静電容量無接点	45g	-	左上刻印	USB	-	-	-	2005-02	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro/	https://web.archive.org/web/20071020074930/http://www.pfu.co.jp/topics/new050214.html	eol
23	HHKB Professional	PD-KB300	英語	60キー	白	静電容量無接点	45g	-	左上刻印	USB	-	-	-	2003-05	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro/	https://web.archive.org/web/20080214135336/http://www.pfu.co.jp:80/topics/new030424.html	eol
24	HHKB Professional	PD-KB300BN	英語	60キー	墨	静電容量無接点	45g	-	無刻印	USB	-	-	-	2005-02	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro/	https://web.archive.org/web/20071020074930/http://www.pfu.co.jp/topics/new050214.html	eol
25	HHKB Professional	PD-KB300NL	英語	60キー	白	静電容量無接点	45g	-	無刻印	USB	-	-	-	2003-05	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro/	https://web.archive.org/web/20080214135336/http://www.pfu.co.jp:80/topics/new030424.html	eol
26	HHKB Professional2	PD-KB400B	英語	60キー	墨	静電容量無接点	45g	-	左上刻印	USB	-	-	USB 2.0 Hub 2ポート	2006-03	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro2/	https://www.pfu.ricoh.com/news/2006/new060316.html	eol
27	HHKB Professional2	PD-KB400W	英語	60キー	白	静電容量無接点	45g	-	左上刻印	USB	-	-	USB 2.0 Hub 2ポート	2006-03	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro2/	https://www.pfu.ricoh.com/news/2006/new060316.html	eol
28	HHKB Professional2	PD-KB400BN	英語	60キー	墨	静電容量無接点	45g	-	無刻印	USB	-	-	USB 2.0 Hub 2ポート	2006-03	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro2/	https://www.pfu.ricoh.com/news/2006/new060316.html	eol
29	HHKB Professional2	PD-KB400WN	英語	60キー	白	静電容量無接点	45g	-	無刻印	USB	-	-	USB 2.0 Hub 2ポート	2006-03	https://happyhackingkb.com/jp/products/discontinued/hhkb_pro2/	https://www.pfu.ricoh.com/news/2006/new060316.html	eol
